"","Date","Umpire","Home","Away","R [H]","R [A]","PC","IC","xIC","CC","xCC","CCAx","Acc","xAcc","AAx","Con","Fav [H]","totRI"
"","2024-09-20","Doug Eddings","HOU","LAA","9","7","145","8","9.4","137","135.6","1.4","94.5","93.5","1","94.5","0.51","0.51"
"","2024-09-20","Jordan Baker","CIN","PIT","8","3","148","8","10.3","140","137.7","2.3","94.6","93","1.6","94.6","0.38","0.82"
"","2024-09-20","Adrian Johnson","CHC","WSH","3","1","123","7","10","116","113","3","94.3","91.9","2.4","93.5","0.07","1.07"
"","2024-09-20","Alan Porter","BOS","MIN","2","4","195","11","14.6","184","180.4","3.6","94.4","92.5","1.9","93.3","-0.18","2.22"
"","2024-09-20","CB Bucknor","BAL","DET","7","1","138","11","8.5","127","129.5","-2.5","92","93.9","-1.8","92.8","-0.04","1.02"
"","2024-09-19","Mike Estabrook","TEX","TOR","0","4","146","8","6.2","138","139.8","-1.8","94.5","95.8","-1.3","95.9","-0.49","0.75"
"","2024-09-19","Todd Tichenor","TB","BOS","2","0","113","4","8.1","109","104.9","4.1","96.5","92.8","3.6","94.7","0.14","0.3"
"","2024-09-19","John Bacon","STL","PIT","2","3","127","9","10.6","118","116.4","1.6","92.9","91.6","1.3","94.5","-0.07","0.97"
"","2024-09-19","Clint Vondrak","SEA","NYY","3","2","145","9","10.4","136","134.6","1.4","93.8","92.9","0.9","93.8","-0.09","1.23"
"","2024-09-19","Adam Hamari","NYM","PHI","10","6","150","1","7.9","149","142.1","6.9","99.3","94.7","4.6","98.7","-0.21","0.21"
"","2024-09-19","Andy Fletcher","MIL","AZ","1","5","164","10","11.8","154","152.2","1.8","93.9","92.8","1.1","92.1","0.02","1.04"
"","2024-09-19","Dan Iassogna","MIA","LAD","4","20","195","14","8","181","187","-6","92.8","95.9","-3.1","93.3","-1.51","1.81"
"","2024-09-19","Malachi Moore","HOU","LAA","3","1","134","7","5.3","127","128.7","-1.7","94.8","96","-1.2","92.5","-0.42","2.3"
"","2024-09-19","Ryan Wills","CLE","MIN","3","2","161","11","11.3","150","149.7","0.3","93.2","93","0.2","89.4","-0.19","2.57"
"","2024-09-19","Derek Thomas","CIN","ATL","3","15","167","13","9.3","154","157.7","-3.7","92.2","94.4","-2.2","95.8","0.41","2.07"
"","2024-09-19","Tripp Gibson","CHC","WSH","7","6","157","9","10.6","148","146.4","1.6","94.3","93.3","1","94.9","-0.27","1.35"
"","2024-09-19","Dan Merzel","BAL","SF","5","3","152","7","10.3","145","141.7","3.3","95.4","93.2","2.2","94.1","0.32","0.72"
"","2024-09-18","Jacob Metz","TEX","TOR","2","0","127","8","11.2","119","115.8","3.2","93.7","91.2","2.5","96.9","0.69","1.31"
"","2024-09-18","Cory Blaser","TB","BOS","1","2","113","6","6.3","107","106.7","0.3","94.7","94.4","0.3","88.5","-0.47","0.71"
"","2024-09-18","D.J. Reyburn","STL","PIT","10","5","158","12","11.3","146","146.7","-0.7","92.4","92.8","-0.4","94.9","0.06","1.44"
"","2024-09-18","Jim Wolf","SEA","NYY","1","2","194","17","10.6","177","183.4","-6.4","91.2","94.6","-3.3","90.2","1.66","2.92"
"","2024-09-18","Chris Conroy","SD","HOU","4","0","102","5","9.7","97","92.3","4.7","95.1","90.4","4.7","91.2","0.64","0.7"
"","2024-09-18","Mike Muchlinski","NYM","WSH","10","0","163","8","7.1","155","155.9","-0.9","95.1","95.7","-0.6","94.5","0.47","0.73"
"","2024-09-18","Chris Guccione","MIL","PHI","2","1","138","7","6.4","131","131.6","-0.6","94.9","95.4","-0.5","95.7","-0.38","1.1"
"","2024-09-18","Adam Beck","MIA","LAD","4","8","149","7","5.9","142","143.1","-1.1","95.3","96.1","-0.8","97.3","0.94","1.36"
